Index,Result
Fri Sep 14 2018 02:00:00 GMT+0100 (British Summer Time),35
Fri Sep 14 2018 03:00:00 GMT+0100 (British Summer Time),22
Fri Sep 14 2018 04:00:00 GMT+0100 (British Summer Time),18
Fri Sep 14 2018 05:00:00 GMT+0100 (British Summer Time),9
Fri Sep 14 2018 06:00:00 GMT+0100 (British Summer Time),0
Fri Sep 14 2018 07:00:00 GMT+0100 (British Summer Time),0
Fri Sep 14 2018 08:00:00 GMT+0100 (British Summer Time),0
Fri Sep 14 2018 09:00:00 GMT+0100 (British Summer Time),0
Fri Sep 14 2018 10:00:00 GMT+0100 (British Summer Time),0
Fri Sep 14 2018 11:00:00 GMT+0100 (British Summer Time),1
Fri Sep 14 2018 12:00:00 GMT+0100 (British Summer Time),2
Fri Sep 14 2018 13:00:00 GMT+0100 (British Summer Time),1
Fri Sep 14 2018 14:00:00 GMT+0100 (British Summer Time),7
Fri Sep 14 2018 15:00:00 GMT+0100 (British Summer Time),89
Fri Sep 14 2018 16:00:00 GMT+0100 (British Summer Time),79
Fri Sep 14 2018 17:00:00 GMT+0100 (British Summer Time),7
Fri Sep 14 2018 18:00:00 GMT+0100 (British Summer Time),12
Fri Sep 14 2018 19:00:00 GMT+0100 (British Summer Time),5
Fri Sep 14 2018 20:00:00 GMT+0100 (British Summer Time),7
Fri Sep 14 2018 21:00:00 GMT+0100 (British Summer Time),9
Fri Sep 14 2018 22:00:00 GMT+0100 (British Summer Time),25
Fri Sep 14 2018 23:00:00 GMT+0100 (British Summer Time),75
Sat Sep 15 2018 00:00:00 GMT+0100 (British Summer Time),11
Sat Sep 15 2018 01:00:00 GMT+0100 (British Summer Time),20
Sat Sep 15 2018 02:00:00 GMT+0100 (British Summer Time),3
Sat Sep 15 2018 03:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 04:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 05:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 06:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 07:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 08:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 09:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 10:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 11:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 12:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 13:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 14:00:00 GMT+0100 (British Summer Time),4
Sat Sep 15 2018 15:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 16:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 17:00:00 GMT+0100 (British Summer Time),1
Sat Sep 15 2018 18:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 19:00:00 GMT+0100 (British Summer Time),4
Sat Sep 15 2018 20:00:00 GMT+0100 (British Summer Time),1
Sat Sep 15 2018 21:00:00 GMT+0100 (British Summer Time),1
Sat Sep 15 2018 22:00:00 GMT+0100 (British Summer Time),0
Sat Sep 15 2018 23:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 00:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 01:00:00 GMT+0100 (British Summer Time),1
Sun Sep 16 2018 02:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 03:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 04:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 05:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 06:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 07:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 08:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 09:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 10:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 11:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 12:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 13:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 14:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 15:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 16:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 17:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 18:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 19:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 20:00:00 GMT+0100 (British Summer Time),0
Sun Sep 16 2018 21:00:00 GMT+0100 (British Summer Time),1
Sun Sep 16 2018 22:00:00 GMT+0100 (British Summer Time),1
Sun Sep 16 2018 23:00:00 GMT+0100 (British Summer Time),1
Mon Sep 17 2018 00:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 01:00:00 GMT+0100 (British Summer Time),1
Mon Sep 17 2018 02:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 03:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 04:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 05:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 06:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 07:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 08:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 09:00:00 GMT+0100 (British Summer Time),1
Mon Sep 17 2018 10:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 11:00:00 GMT+0100 (British Summer Time),0
Mon Sep 17 2018 12:00:00 GMT+0100 (British Summer Time),2
Mon Sep 17 2018 13:00:00 GMT+0100 (British Summer Time),2
Mon Sep 17 2018 14:00:00 GMT+0100 (British Summer Time),7
Mon Sep 17 2018 15:00:00 GMT+0100 (British Summer Time),82
Mon Sep 17 2018 16:00:00 GMT+0100 (British Summer Time),73
Mon Sep 17 2018 17:00:00 GMT+0100 (British Summer Time),6
Mon Sep 17 2018 18:00:00 GMT+0100 (British Summer Time),6
Mon Sep 17 2018 19:00:00 GMT+0100 (British Summer Time),4
Mon Sep 17 2018 20:00:00 GMT+0100 (British Summer Time),8
Mon Sep 17 2018 21:00:00 GMT+0100 (British Summer Time),7
Mon Sep 17 2018 22:00:00 GMT+0100 (British Summer Time),29
Mon Sep 17 2018 23:00:00 GMT+0100 (British Summer Time),63
